gene,degree,importance_sum,importance_mean,n_nodes
TLR2,106,0.06272906,0.0011835672,2
HCN4,55,0.062254965,0.0011319085,1
IL6ST,42,0.062036805,0.0014770668,1
PLCG2,210,0.0619995,0.00059047143,2
KCNK1,224,0.061649077,0.0011008764,4
CHEK2,42,0.061463375,0.0014634137,1
PML,46,0.060996193,0.0013260042,1
GNG12,214,0.060975213,0.0005698618,2
SMAD2,320,0.060938604,0.0007617326,4
MEF2A,162,0.06086262,0.0011270856,3
BAK1,810,0.060840413,0.0011266744,15
MSMO1,72,0.060361817,0.0016767172,2
HTR1A,938,0.060144607,0.0008976807,14
PCSK2,275,0.0600184,0.0010912436,5
FOXO3,192,0.059702538,0.0006219015,2
DLD,2231,0.059414722,0.00061252294,23
PLD1,56,0.059410013,0.0010608931,1
SLC7A6,37,0.05907754,0.0015966903,1
RFC5,124,0.05845087,0.00094275596,2
ACADS,98,0.058324896,0.001190304,2
SYNJ1,26,0.057979643,0.0022299862,1
HRH2,72,0.057866614,0.001607406,2
UBE2I,204,0.057529587,0.0008460234,3
CYP2C9,61,0.057047397,0.0009352032,1
VEGFC,238,0.056916676,0.0016740198,7
CD3D,45,0.056880206,0.0012640046,1
BCAR1,520,0.056673408,0.0008718986,8
GUCY1B1,76,0.05641422,0.0014845848,2
VAV2,92,0.05621474,0.00061102974,1
POLR2D,60,0.05593262,0.0009322103,1
MYC,177,0.055553734,0.0003138629,1
AOX1,96,0.055292383,0.0011519246,2
THBS1,200,0.05508613,0.0011017226,4
CAMK2D,540,0.054960586,0.0005088943,5
BLM,74,0.054858558,0.0014826637,2
MAX,28,0.054767888,0.001955996,1
CCL4,190,0.05467642,0.0014388531,5
TUBB1,35,0.054483507,0.0015566716,1
GTF2F1,53,0.054438267,0.0010271372,1
CREBBP,340,0.05432014,0.00031953026,2
PSMA1,33,0.054236945,0.0016435438,1
YES1,64,0.05423625,0.00084744144,1
FGFR3,158,0.054138042,0.0006852917,2
PTGS1,73,0.053856585,0.00073776144,1
SLC2A1,50,0.05371403,0.0010742806,1
GAB2,79,0.053647377,0.0006790807,1
SDHB,42,0.05363962,0.0012771338,1
DCTN2,33,0.05353101,0.0016221518,1
FURIN,165,0.05346312,0.00097205676,3
SYK,672,0.05344527,0.0005567215,7
CYP4F8,61,0.053348083,0.00087455875,1
KAT2A,45,0.05333044,0.0011851209,1
TRAF3,66,0.053318672,0.00080785865,1
SIRT1,46,0.05331692,0.0011590635,1
PPARGC1A,318,0.053293686,0.0010055412,6
FASLG,4416,0.053211506,0.0005783859,48
ERBIN,58,0.05311469,0.001831541,2
WIPF1,24,0.053016458,0.0022090191,1
CASP10,35,0.052833483,0.001509528,1
APC,64,0.052797187,0.00082495605,1
HMGCR,48,0.05271008,0.0010981266,1
HSPB1,33,0.052449934,0.001589392,1
ACAT2,50,0.052301466,0.0010460294,1
RPS29,240,0.05223073,0.0017410243,8
JUN,285,0.052149672,0.00018298131,1
HLA-DRA,1044,0.052096594,0.00089821714,18
POLR2E,711,0.05189763,0.000656932,9
FZD1,168,0.051700663,0.00092322606,3
GSS,30,0.05140517,0.0017135056,1
FNTB,10,0.051336475,0.0051336475,1
PDHB,462,0.051256895,0.0012204022,11
TAB2,612,0.05096918,0.0004996978,6
HLA-F,352,0.050819185,0.0015880995,11
F2,89,0.050748065,0.000570203,1
SHH,88,0.05065533,0.0011512574,2
MAT2B,99,0.050651256,0.0015348865,3
ITGAM,210,0.05062456,0.001446416,6
FSHB,62,0.050570194,0.0016312965,2
SMO,66,0.05054829,0.0015317664,2
ESR1,158,0.050454788,0.0006386682,2
HCK,49,0.050442263,0.0010294339,1
DDB2,51,0.050207905,0.0009844687,1
NCOR2,65,0.05000012,0.00076923263,1
OPRM1,462,0.049992923,0.0006492587,6
UGT2B7,35,0.049863074,0.0014246593,1
CYP2B6,92,0.049761772,0.0005408888,1
COPB1,33,0.049761157,0.0015079138,1
ITGA6,225,0.049715213,0.0011047826,5
CYP11A1,37,0.049401935,0.0013351875,1
POM121C,112,0.049312904,0.0008805876,2
AQP3,70,0.04916004,0.0014045726,2
LAMTOR2,27,0.049149804,0.0018203631,1
KCNA5,572,0.049038492,0.0009430479,11
RUNX2,111,0.048998658,0.0013242881,3
CCKBR,96,0.04896688,0.001530215,3
VAV1,321,0.04876962,0.0004557908,3
MCEE,35,0.048535228,0.0013867208,1
MMP2,47,0.04842106,0.0010302353,1
UGT1A1,44,0.047927186,0.0010892543,1
HLA-G,231,0.047774352,0.0014477076,7
PSMB1,288,0.04775048,0.0013264023,8
CXCR2,33,0.047727197,0.0014462788,1
MEF2C,81,0.047705263,0.00058895384,1
VKORC1,30,0.047576655,0.0015858884,1
NOD2,200,0.04749374,0.0011873435,5
RIPK1,93,0.04740979,0.0005097827,1
RBL1,35,0.04735237,0.0013529249,1
DYNC1I1,123,0.047231603,0.0011519903,3
TPTEP2-CSNK1E,41,0.047220662,0.0011517234,1
B4GALT1,76,0.047216844,0.0012425486,2
PLA2G4E,34,0.047041543,0.0013835748,1
PPP1R12A,27,0.046995077,0.0017405584,1
DLL1,196,0.046962023,0.0009584087,4
TUBB2B,28,0.046936147,0.001676291,1
