gene,importance_sum,degree,importance_mean
PPP2R5C,0.03691821,62,0.0005954550278763618
NFATC2,0.036907505,63,0.0005858334165716928
RPLP1,0.036877688,26,0.0014183726161718369
CCN1,0.0368686,13,0.002836046024010732
MYH11,0.03675226,23,0.0015979244009308193
INHBB,0.03665715,17,0.002156302990282283
SHH,0.036538374,44,0.0008304175836118785
GHRH,0.03624925,21,0.0017261547701699393
ORAI1,0.035997845,24,0.0014999102180202801
CENPO,0.035959378,21,0.0017123513278507051
BLM,0.035941765,37,0.0009713990462792886
DIAPH1,0.035835393,34,0.0010539821403868059
MAP3K2,0.035779953,21,0.0017038072858537947
TLN1,0.035758324,51,0.0007011436072050356
SOCS2,0.03567155,22,0.001621434126387943
AQP3,0.03560297,35,0.0010172276624611446
PNMT,0.03530332,22,0.0016046963970769536
MED1,0.035191495,28,0.001256839106125491
LAMB2,0.035143875,32,0.001098246080800891
ACADSB,0.035141274,40,0.0008785318583250046
MEF2C,0.035120472,81,0.00043358607792559964
CDC27,0.03503345,44,0.0007962147620591251
WIPF1,0.03497707,24,0.0014573779578010242
MEF2A,0.03497694,54,0.0006477211222604469
AOX1,0.03493449,48,0.0007278018941481909
FSHB,0.03489541,31,0.0011256583515674838
UPB1,0.034893725,24,0.001453905211140712
EPS15,0.034772348,23,0.0015118412025596785
GCDH,0.034706283,29,0.0011967683917489544
MAVS,0.034695137,30,0.0011565045764048894
ARNT,0.03466992,30,0.0011556640267372132
TLR2,0.034654513,53,0.0006538587358762634
B4GALT1,0.03458938,38,0.0009102468427858854
C1S,0.03456817,17,0.0020334216601708356
KCNJ4,0.034515493,66,0.0005229620093649083
BMP2,0.034173988,39,0.000876256097585727
KLC3,0.034170516,20,0.0017085257917642594
CYP2S1,0.03413463,26,0.0013128703889938502
PYGL,0.03406903,22,0.0015485923398624766
AP1B1,0.034016915,20,0.0017008457332849502
TAB2,0.03401309,102,0.000333461654829044
STX4,0.033990826,21,0.0016186107837018512
PF4,0.03385204,23,0.0014718278594638991
AGPAT1,0.03384587,19,0.0017813616677334434
SKA2,0.033835843,18,0.0018797690669695537
SERPING1,0.033776067,16,0.002111004199832678
SLC12A3,0.03376841,33,0.001023285203810894
IVD,0.03367134,26,0.0012950516090943264
LCP2,0.03364241,30,0.0011214137077331543
DBH,0.033614434,22,0.0015279288319024172
ARHGEF12,0.033515535,34,0.000985751038088518
SAA1,0.03342101,19,0.0017590005146829707
YWHAQ,0.033408865,66,0.0005061949292818705
ANAPC1,0.033188555,44,0.0007542853497646072
FBXW11,0.033188023,62,0.0005352906882762909
ACOX3,0.033166643,29,0.0011436773528312814
COL4A3,0.033112668,36,0.0009197963194714652
NCSTN,0.03297079,44,0.0007493361322717233
SDC3,0.032968014,25,0.0013187205791473388
GTF2F1,0.032920588,53,0.0006211431661866746
HSPA1L,0.03285274,22,0.0014933063225312667
PDIA6,0.032822583,20,0.0016411291435360909
IL6,0.03280735,142,0.00023103767717388315
MMP7,0.032736834,19,0.0017229912704543064
MYC,0.032699805,177,0.00018474465962183678
FYN,0.032614376,176,0.00018530895679511806
PTK2B,0.03257644,64,0.0005090069025754929
MCCC2,0.03250687,27,0.0012039580830821284
SH3GL3,0.03244466,22,0.0014747572554783387
GNAT3,0.03236633,23,0.0014072318115959997
ZAP70,0.032311566,48,0.0006731576286256313
GRK6,0.03227274,20,0.0016136370599269868
GNA14,0.032221634,42,0.0007671817604984556
KIT,0.032143064,61,0.0005269354728401685
RPL27,0.032104176,27,0.0011890435384379493
KCNQ1,0.03201249,65,0.0004924998260461367
KITLG,0.031975698,43,0.0007436208773490995
SCARB1,0.031936288,24,0.001330678661664327
POM121C,0.031912334,56,0.0005698631118450846
ALDH9A1,0.031853992,37,0.0008609187159989331
CBX4,0.031788033,26,0.0012226166346898447
WNT11,0.031545866,44,0.0007169515063816851
ACSL6,0.03151888,29,0.0010868579406162788
IL10,0.03150916,58,0.0005432613964738516
NDC80,0.031430844,20,0.0015715422108769418
TIAM1,0.031394437,51,0.0006155771952049405
HIPK2,0.03127427,22,0.0014215577393770218
TAOK1,0.031270605,23,0.0013595915035061214
CD14,0.031254593,53,0.0005897093072252454
STAT1,0.031144781,170,0.0001832045943421476
YAP1,0.030933533,33,0.0009373797837531928
STAT5B,0.030793088,126,0.0002443895837853825
CREBBP,0.03078473,170,0.0001810866462833741
CD3E,0.03070365,43,0.0007140383904063424
PLA2G6,0.030654863,28,0.00109481651868139
H4C8,0.030643411,94,0.00032599373383724944
ASNS,0.030634306,18,0.001701905909511778
CEP152,0.03061136,16,0.0019132100278511643
CYP2C18,0.030488225,21,0.0014518202238139651
TNRC6A,0.030330466,32,0.0009478270658291876
THBS1,0.03024642,50,0.0006049283966422081
RASGRF2,0.030222058,30,0.0010074019432067872
NMNAT1,0.03015941,14,0.0021542435778038843
CSNK1A1,0.030069051,45,0.0006682011402315564
FZD1,0.030041382,56,0.0005364532449415752
TPM1,0.030028738,59,0.0005089616623975463
CAPZB,0.030016666,24,0.0012506944282601278
MYLK,0.029976778,80,0.00037470972165465355
DUSP5,0.029948799,12,0.0024957332449654737
COX6B1,0.029897887,27,0.0011073291577674725
SMO,0.029774714,33,0.0009022640685240427
CHMP4B,0.029715676,18,0.0016508708811468547
ANPEP,0.029662322,20,0.0014831161126494408
TOP2A,0.029632613,18,0.0016462562812699212
RPS6KA2,0.029608028,74,0.00040010848661532273
SLC22A2,0.029566225,50,0.0005913244932889938
C1QA,0.029565929,20,0.0014782964251935482
CEP78,0.029536461,17,0.0017374389092711842
IL2,0.029519847,76,0.00038841903503788143
GBA,0.029481445,18,0.0016378580282131832
FANCD2,0.029464401,19,0.0015507579634064122
ABCC1,0.029388705,37,0.0007942893315811414
FGF20,0.029259652,91,0.000321534636256459
PPBP,0.029250829,20,0.001462541427463293
KCNK1,0.029216914,56,0.000521730598328369
